id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
119,"I have cleared all my backlogs.",1,2,1,1,1.25,Poor
120,"I am good at time management.",1,2,2,1,1.50,Poor
121,"I am Rohit. I like problem solving.",1,2,2,1,1.50,Poor
122,"I completed my degree with second class.",1,2,1,1,1.25,Poor
123,"Myself Padma. I am quiet person.",1,1,2,1,1.25,Poor
124,"I have done civil engineering diploma.",1,2,1,1,1.25,Poor
125,"I am trying to find suitable job.",1,2,2,1,1.50,Poor
126,"I am Dhanraj. I want technical job.",1,2,1,1,1.25,Poor
127,"I have basic knowledge of programming.",1,2,2,1,1.50,Poor
128,"I am responsible and reliable person.",1,2,2,1,1.50,Poor
129,"I did my course from private institute.",1,2,1,1,1.25,Poor
130,"Myself Leela. I enjoy my work.",1,2,2,1,1.50,Poor
131,"I have completed my engineering degree.",1,2,1,1,1.25,Poor
132,"I am good with numbers and data.",1,2,2,1,1.50,Poor
133,"I am Santosh. I passed diploma this year.",1,2,1,1,1.25,Poor
134,"I have interest in learning new skills.",1,2,2,1,1.50,Poor
135,"I am calm and focused in my work.",1,2,2,1,1.50,Poor
136,"Myself Rukmini from Tamil Nadu.",1,1,1,1,1.00,Poor
137,"I completed my MBA two years ago.",1,2,1,1,1.25,Poor
138,"I am Ajay. I have little work experience.",1,2,2,1,1.50,Poor
139,"I did computer application course.",1,2,1,1,1.25,Poor
140,"I want to prove myself in this field.",1,2,2,1,1.50,Poor
141,"I am Tejas. I just finished my studies.",1,2,1,1,1.25,Poor
142,"I enjoy cycling and outdoor activities.",1,2,2,1,1.50,Poor
143,"I have degree in mechanical engineering.",1,2,1,1,1.25,Poor
144,"I am detail oriented and careful worker.",1,2,2,1,1.50,Poor
145,"Myself Sulochana. I am commerce student.",1,2,1,1,1.25,Poor
146,"I have some familiarity with computers.",1,2,2,1,1.50,Poor
147,"I am Praveen. I did my engineering.",1,2,1,1,1.25,Poor
148,"I want a stable job with good salary.",1,2,1,1,1.25,Poor
149,"I have done tailoring and stitching course.",1,1,2,1,1.25,Poor
150,"I am friendly and get along with everyone.",1,2,2,1,1.50,Poor
151,"Myself Srinivas from Andhra Pradesh.",1,1,1,1,1.00,Poor
152,"I have interest in digital work.",1,2,2,1,1.50,Poor
153,"I am Mona. I did BSc IT.",1,2,1,1,1.25,Poor
154,"I completed my graduation last semester.",1,2,1,1,1.25,Poor
155,"I always give my best in whatever I do.",1,2,2,1,1.50,Poor
156,"I am Raghav. I want to do something big.",1,2,2,1,1.50,Poor
157,"I like to work on computers.",1,2,2,1,1.50,Poor
158,"I have done my diploma in electronics.",1,2,1,1,1.25,Poor
159,"Myself Saroja. I completed my studies.",1,2,1,1,1.25,Poor
160,"I am very eager to work here.",1,2,2,1,1.50,Poor
161,"I am Ratan. I know basic office work.",1,2,2,1,1.50,Poor
162,"I have done course in graphic design.",1,2,2,1,1.50,Poor
163,"I am quick learner and adaptable.",1,2,2,1,1.50,Poor
164,"Myself Chandru. I did engineering.",1,2,1,1,1.25,Poor
165,"I have interest in data entry work.",1,2,2,1,1.50,Poor
166,"I am Parvati. I finished my schooling.",1,1,1,1,1.00,Poor
167,"I have done some freelance work online.",1,2,2,1,1.50,Poor
168,"I am Dinesh. I am available for full time.",1,2,1,1,1.25,Poor
169,"I don't have much qualification but I try hard.",1,2,2,1,1.50,Poor
170,"I am Vimala. I did polytechnic.",1,2,1,1,1.25,Poor
171,"I have studied accounts and taxation.",1,2,2,1,1.50,Poor
172,"I am Rajendra. I am confident person.",1,2,2,1,1.50,Poor
173,"Myself Shanta from West Bengal.",1,1,1,1,1.00,Poor
174,"I have done painting and art course.",1,1,2,1,1.25,Poor
175,"I am Trilok. I finished my studies last year.",1,2,1,1,1.25,Poor
176,"I am willing to relocate for job.",1,2,2,1,1.50,Poor
177,"I did BBA with average marks.",1,2,1,1,1.25,Poor
178,"Myself Geetha. I passed this year.",1,2,1,1,1.25,Poor
179,"I have experience in small business.",1,2,2,1,1.50,Poor
180,"I am Naresh. I know Tally software.",1,2,2,1,1.50,Poor
181,"I completed my 10th and 12th and degree.",1,2,1,1,1.25,Poor
182,"I am interested in accounts work.",1,2,2,1,1.50,Poor
183,"Myself Savitri. First interview ever.",1,1,1,1,1.00,Poor
184,"I have done vehicle mechanic course.",1,2,1,1,1.25,Poor
185,"I am Satish. I work hard always.",1,2,2,1,1.50,Poor
186,"I am looking for any decent job.",1,2,1,1,1.25,Poor
187,"I have little bit knowledge of HTML.",1,2,2,1,1.50,Poor
188,"Myself Basavaraj from Karnataka.",1,1,1,1,1.00,Poor
189,"I am Meena. I have done my graduation.",1,2,1,1,1.25,Poor
190,"I am goal oriented and focused.",1,2,2,1,1.50,Poor
191,"I like photography and videography.",1,2,2,1,1.50,Poor
192,"I am Bhushan. I passed diploma recently.",1,2,1,1,1.25,Poor
193,"I have studied science in college.",1,2,1,1,1.25,Poor
194,"Myself Nalini. I am commerce graduate.",1,2,1,1,1.25,Poor
195,"I want to prove myself to my family.",1,2,2,1,1.50,Poor
196,"I have interest in fashion designing.",1,2,2,1,1.50,Poor
197,"I am Mukesh. I can speak Hindi and English.",1,2,2,1,1.50,Poor
198,"I completed my engineering this May.",1,2,1,1,1.25,Poor
199,"I am Kamala. I did nursing course.",1,2,1,1,1.25,Poor
200,"I don't have formal training but I learn fast.",1,2,2,1,1.50,Poor
201,"Myself Ramakrishna. I am from South India.",1,1,1,1,1.00,Poor
202,"I am dedicated to whatever task I take.",1,2,2,1,1.50,Poor
203,"I have done some Tally and Excel work.",1,2,2,1,1.50,Poor
204,"I am Geeta. I know a little typing.",1,2,2,1,1.50,Poor
205,"I am open to learning any new skill.",1,2,2,1,1.50,Poor
206,"Myself Amarjeet from Punjab.",1,1,1,1,1.00,Poor
207,"I have completed B.Sc in physics.",1,2,1,1,1.25,Poor
208,"I am Raja. I enjoy working with machines.",1,2,2,1,1.50,Poor
209,"I have little experience in field work.",1,2,2,1,1.50,Poor
210,"I am very obedient and follow instructions.",1,2,2,1,1.50,Poor
211,"Myself Ganga. I did intermediate.",1,1,1,1,1.00,Poor
212,"I am Kirti. I passed this year from college.",1,2,1,1,1.25,Poor
213,"I have done some work in hotel industry.",1,2,2,1,1.50,Poor
214,"I am Bharat. I want to earn and support family.",1,2,2,1,1.50,Poor
215,"I have basic English speaking ability.",1,2,2,1,1.50,Poor
216,"Myself Subhash. I am ready to work.",1,2,1,1,1.25,Poor
217,"I enjoy drawing and sketching.",1,2,2,1,1.50,Poor
218,"I am Malati. I did B.Sc Chemistry.",1,2,1,1,1.25,Poor
219,"I have no experience. I am fresher only.",1,2,1,1,1.25,Poor
220,"I am Nandlal. I want permanent job.",1,2,1,1,1.25,Poor
221,"I completed my course from distance education.",1,2,1,1,1.25,Poor
222,"I am Shobha. I am mother of two and looking for work.",1,2,2,1,1.50,Poor
223,"I have done short term computer course.",1,2,2,1,1.50,Poor
224,"Myself Balram. I am always on time.",1,2,2,1,1.50,Poor
225,"I am Hemant. I studied till graduation. Not much more.",1,2,2,1,1.50,Poor
