id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
104,I am sincere and I always complete my work on time. I really need this job and I will try my best.,1.0,1.0,1.0,2.0,1.15,Poor
105,This job is close to my home so it will be convenient for me. I am dedicated in nature and I respect my seniors.,1.0,1.0,1.0,2.0,1.15,Poor
106,"I am honest, that's basically the only reason I can give you. I just finished my studies and I need a job to support my family.",1.0,2.0,1.0,1.0,1.25,Poor
107,Because I want to work here and I will not disappoint you. Because I want to work here and I will not disappoint you.,1.0,1.0,2.0,2.0,1.4,Poor
108,"There is no specific reason, I just want a job and I am trustworthy.",1.0,1.0,2.0,1.0,1.25,Poor
109,"I am straightforward, energetic and I am ready to join immediately.",1.0,1.0,2.0,2.0,1.4,Poor
110,I need this job urgently because of my financial condition at home.,1.0,1.0,2.0,1.0,1.25,Poor
111,I am looking for any job opportunity and I will work decently.,1.0,1.0,1.0,1.0,1.0,Poor
112,"I have given many interviews and this is the first call I got, so please consider me.",1.0,1.0,1.0,2.0,1.15,Poor
113,Because I want to work here and I will not disappoint you.,1.0,1.0,2.0,1.0,1.25,Poor
114,"I am energetic so I believe I am fit for this post. My family told me to take up any job available, so I am here.",1.0,1.0,2.0,1.0,1.25,Poor
115,I am calm in nature and I respect my seniors.,1.0,2.0,1.0,1.0,1.25,Poor
116,I think I deserve this job because I am cooperative.,1.0,1.0,1.0,1.0,1.0,Poor
117,I am obedient and I think this job suits me well. I have applied to many places and nobody has hired me yet.,1.0,2.0,1.0,2.0,1.4,Poor
118,I am a sincere person who can do any work given to me.,1.0,2.0,1.0,2.0,1.4,Poor
119,"I think I deserve this job because I am adjustable. I don't really know, I just want to start working somewhere.",1.0,2.0,2.0,1.0,1.5,Poor
120,I am calm and I think that is enough to do this job well.,1.0,1.0,2.0,2.0,1.4,Poor
121,I just finished my studies and I need a job to support my family. I am respectful and I think this job suits me well.,1.0,2.0,1.0,2.0,1.4,Poor
122,"There is no specific reason, I just want a job and I am straightforward.",1.0,1.0,1.0,2.0,1.15,Poor
123,I am flexible and I will not ask for leave often.,1.0,2.0,2.0,1.0,1.5,Poor
124,"I am responsible and I think that is enough to do this job well. Sir, I don't have many options right now so please consider me for this job.",1.0,1.0,1.0,2.0,1.15,Poor
125,You should hire me because everyone says I am punctual.,1.0,1.0,1.0,2.0,1.15,Poor
126,I think I deserve this job because I am flexible.,1.0,1.0,1.0,2.0,1.15,Poor
127,"There is no specific reason, I just want a job and I am decent.",1.0,1.0,2.0,1.0,1.25,Poor
128,"I am honest, well behaved and I am ready to join immediately.",1.0,1.0,2.0,2.0,1.4,Poor
129,"I am dedicated and I am sure I will not create any problems for you. I am dedicated, that's basically the only reason I can give you.",1.0,1.0,1.0,2.0,1.15,Poor
130,Because I am obedient and active.,1.0,2.0,1.0,2.0,1.4,Poor
131,"I can do this job, I am straightforward and I never miss work.",1.0,1.0,1.0,1.0,1.0,Poor
132,I am a fresher but I am punctual and willing to do anything you ask.,1.0,2.0,2.0,1.0,1.5,Poor
133,I am looking for any job opportunity and I will work diligently. You should hire me because everyone says I am diligent.,1.0,1.0,1.0,2.0,1.15,Poor
134,Because I am dedicated and diligent.,1.0,2.0,2.0,1.0,1.5,Poor
135,"I am active, honest and I am ready to join immediately.",1.0,2.0,2.0,2.0,1.65,Poor
136,"Sir, I don't have many options right now so please consider me for this job. I am polite and I always complete my work on time.",1.0,2.0,2.0,1.0,1.5,Poor
137,I think I deserve this job because I am disciplined.,1.0,2.0,1.0,1.0,1.25,Poor
138,Honestly I don't have much experience but I am dedicated.,1.0,2.0,1.0,1.0,1.25,Poor
139,"There is no specific reason, I just want a job and I am dedicated.",1.0,2.0,1.0,2.0,1.4,Poor
140,Because I am decent and I follow instructions properly.,1.0,2.0,1.0,1.0,1.25,Poor
141,I am looking for any job opportunity and I will work straightforwardly.,1.0,2.0,1.0,2.0,1.4,Poor
142,I am adjustable so I believe I am fit for this post.,1.0,1.0,1.0,1.0,1.0,Poor
143,"I am diligent, energetic and I am ready to join immediately. I think I deserve this job because I am diligent.",1.0,2.0,2.0,1.0,1.5,Poor
144,"Sir, I don't have many options right now so please consider me for this job. I am an honest person who can do any work given to me.",1.0,2.0,1.0,2.0,1.4,Poor
145,I am loyal and I think this job suits me well. I am loyal and I think that is enough to do this job well.,1.0,1.0,1.0,1.0,1.0,Poor
146,Honestly I don't have much experience but I am calm.,1.0,2.0,1.0,1.0,1.25,Poor
147,I don't have any special skill but I am willing to work for less salary too.,1.0,2.0,2.0,2.0,1.65,Poor
148,"Because I want to work here and I will not disappoint you. I am flexible, that's basically the only reason I can give you.",1.0,2.0,1.0,1.0,1.25,Poor
149,This job is close to my home so it will be convenient for me.,1.0,1.0,2.0,2.0,1.4,Poor
150,Because I want to work here and I will not disappoint you. I am straightforward and I am sure I will not create any problems for you.,1.0,1.0,1.0,2.0,1.15,Poor
151,"I am looking for any job opportunity and I will work punctually. I just want a stable salary every month, that is why I am here.",1.0,1.0,2.0,1.0,1.25,Poor
152,"I can do this job, I am responsible and I never miss work. I am responsible and I think this job suits me well.",1.0,2.0,2.0,1.0,1.5,Poor
153,Because I want to work here and I will not disappoint you. Because I am disciplined and active.,1.0,1.0,1.0,1.0,1.0,Poor
154,You should hire me because everyone says I am disciplined.,1.0,1.0,2.0,1.0,1.25,Poor
155,I am active and I will not ask for leave often.,1.0,2.0,1.0,2.0,1.4,Poor
156,Because I am obedient and flexible.,1.0,2.0,2.0,2.0,1.65,Poor
157,I am straightforward and I think that is enough to do this job well. I need this job urgently because of my financial condition at home.,1.0,2.0,1.0,2.0,1.4,Poor
158,"Sir, I don't have many options right now so please consider me for this job.",1.0,1.0,2.0,2.0,1.4,Poor
159,I am cooperative and I will not ask for leave often. I am cooperative and I think this job suits me well.,1.0,2.0,1.0,2.0,1.4,Poor
160,I am a reliable person who can do any work given to me.,1.0,1.0,2.0,2.0,1.4,Poor
161,"I don't really know, I just want to start working somewhere.",1.0,2.0,2.0,1.0,1.5,Poor
162,"I don't really know, I just want to start working somewhere. I am calm and I will not ask for leave often.",1.0,2.0,1.0,1.0,1.25,Poor
163,I am a fresher but I am responsible and willing to do anything you ask.,1.0,1.0,1.0,2.0,1.15,Poor
164,I am disciplined and good at following whatever my manager tells me to do.,1.0,2.0,1.0,1.0,1.25,Poor
165,I think I deserve this job because I am reliable.,1.0,2.0,2.0,2.0,1.65,Poor
166,Honestly I don't have much experience but I am diligent.,1.0,1.0,2.0,2.0,1.4,Poor
167,"I am disciplined so I believe I am fit for this post. I just want a stable salary every month, that is why I am here.",1.0,1.0,2.0,1.0,1.25,Poor
168,I am a fresher but I am dedicated and willing to do anything you ask.,1.0,1.0,1.0,2.0,1.15,Poor
169,Because I am respectful and diligent.,1.0,1.0,1.0,1.0,1.0,Poor
170,"I am responsible, polite and I am ready to join immediately.",1.0,1.0,1.0,1.0,1.0,Poor
171,I just finished my studies and I need a job to support my family. Because I am straightforward and I follow instructions properly.,1.0,2.0,1.0,2.0,1.4,Poor
172,Because I am well behaved and I follow instructions properly.,1.0,1.0,1.0,2.0,1.15,Poor
173,"I am humble and I think that is enough to do this job well. Sir, I don't have many options right now so please consider me for this job.",1.0,2.0,1.0,1.0,1.25,Poor
174,"I am disciplined, that's basically the only reason I can give you.",1.0,2.0,2.0,2.0,1.65,Poor
175,I am sincere and I am sure I will not create any problems for you.,1.0,2.0,2.0,1.0,1.5,Poor
176,You should hire me because everyone says I am respectful.,1.0,2.0,1.0,2.0,1.4,Poor
177,"I am dedicated, that's basically the only reason I can give you.",1.0,1.0,1.0,1.0,1.0,Poor
178,I just finished my studies and I need a job to support my family.,1.0,1.0,1.0,2.0,1.15,Poor
179,I am sincere so I believe I am fit for this post.,1.0,2.0,2.0,2.0,1.65,Poor
180,Because I am sincere and I follow instructions properly.,1.0,2.0,2.0,2.0,1.65,Poor
181,"My family told me to take up any job available, so I am here.",1.0,1.0,1.0,2.0,1.15,Poor
182,"I can do this job, I am patient and I never miss work.",1.0,2.0,1.0,2.0,1.4,Poor
183,I am honest and I am sure I will not create any problems for you.,1.0,1.0,2.0,2.0,1.4,Poor
184,I am flexible and I think this job suits me well. Because I want to work here and I will not disappoint you.,1.0,1.0,1.0,2.0,1.15,Poor
185,I don't have any special skill but I am willing to work for less salary too. I am adjustable and good at following whatever my manager tells me to,,,,,,
do.,1,2.0,2.0,1.0,1.5,Poor,
186,"I have given many interviews and this is the first call I got, so please consider me. I am looking for any job opportunity and I will work trustworthyly.",1.0,2.0,2.0,2.0,1.65,Poor
187,I am adjustable in nature and I respect my seniors.,1.0,2.0,2.0,1.0,1.5,Poor
188,I am humble and I will not ask for leave often.,1.0,1.0,1.0,2.0,1.15,Poor
189,"I really need this job and I will try my best. There is no specific reason, I just want a job and I am dedicated.",1.0,2.0,2.0,2.0,1.65,Poor
190,"There is no specific reason, I just want a job and I am obedient. I am obedient, that's basically the only reason I can give you.",1.0,2.0,1.0,1.0,1.25,Poor
191,"I am trustworthy, that's basically the only reason I can give you.",1.0,2.0,1.0,2.0,1.4,Poor
192,I have applied to many places and nobody has hired me yet.,1.0,2.0,2.0,1.0,1.5,Poor
193,I am a calm person who can do any work given to me.,1.0,1.0,1.0,2.0,1.15,Poor
194,I am looking for any job opportunity and I will work honestly.,1.0,2.0,1.0,1.0,1.25,Poor
195,I am disciplined and I am sure I will not create any problems for you.,1.0,1.0,1.0,1.0,1.0,Poor
196,I am a fresher but I am cooperative and willing to do anything you ask.,1.0,1.0,1.0,1.0,1.0,Poor
197,Honestly I don't have much experience but I am polite. I have applied to many places and nobody has hired me yet.,1.0,2.0,1.0,2.0,1.4,Poor
198,"I need this job urgently because of my financial condition at home. I don't really know, I just want to start working somewhere.",1.0,1.0,2.0,2.0,1.4,Poor
199,"I just want a stable salary every month, that is why I am here.",1.0,2.0,2.0,1.0,1.5,Poor
200,You should hire me because everyone says I am diligent.,1.0,1.0,1.0,2.0,1.15,Poor
201,I am polite and I am sure I will not create any problems for you. I am polite and I think this job suits me well.,1.0,2.0,2.0,1.0,1.5,Poor
202,I am a responsible person who can do any work given to me. I don't have any special skill but I am willing to work for less salary too.,1.0,2.0,2.0,2.0,1.65,Poor
203,I am decent and good at following whatever my manager tells me to do.,1.0,1.0,2.0,1.0,1.25,Poor
204,I am looking for any job opportunity and I will work respectfully.,1.0,2.0,1.0,2.0,1.4,Poor
205,I am adjustable and I will not ask for leave often. Because I am adjustable and diligent.,1.0,1.0,1.0,1.0,1.0,Poor
206,I am sincere and I think this job suits me well.,1.0,1.0,1.0,1.0,1.0,Poor
207,Honestly I don't have much experience but I am punctual.,1.0,2.0,2.0,1.0,1.5,Poor
208,"I am energetic, that's basically the only reason I can give you.",1.0,1.0,2.0,1.0,1.25,Poor
209,You should hire me because everyone says I am dedicated.,1.0,1.0,1.0,1.0,1.0,Poor
210,"There is no specific reason, I just want a job and I am active.",1.0,2.0,2.0,2.0,1.65,Poor
211,I am respectful and I think that is enough to do this job well.,1.0,2.0,2.0,2.0,1.65,Poor
212,I think I deserve this job because I am humble.,1.0,2.0,2.0,1.0,1.5,Poor
213,I am patient and I am sure I will not create any problems for you. I am patient and I always complete my work on time.,1.0,2.0,2.0,2.0,1.65,Poor
214,Because I am responsible and I follow instructions properly. This job is close to my home so it will be convenient for me.,1.0,1.0,1.0,2.0,1.15,Poor
215,I am loyal and good at following whatever my manager tells me to do.,1.0,2.0,2.0,1.0,1.5,Poor
216,"Because I am a good person and I can work with everyone.",1.0,2.0,2.0,1.0,1.50,Poor
217,I am humble and I think that is enough to do this job well. I am humble and I am sure I will not create any problems for you.,1.0,2.0,2.0,2.0,1.65,Poor
218,I am cooperative and I will not ask for leave often.,1.0,2.0,2.0,1.0,1.5,Poor
219,"I really need this job and I will try my best. I am reliable, that's basically the only reason I can give you.",1.0,1.0,1.0,1.0,1.0,Poor
220,"I can do this job, I am responsible and I never miss work. I have applied to many places and nobody has hired me yet.",1.0,2.0,2.0,1.0,1.5,Poor
221,I am loyal and good at following whatever my manager tells me to do. I have applied to many places and nobody has hired me yet.,1.0,1.0,2.0,2.0,1.4,Poor
222,"There is no specific reason, I just want a job and I am humble.",1.0,2.0,2.0,2.0,1.65,Poor
223,I think I deserve this job because I am trustworthy.,1.0,2.0,1.0,1.0,1.25,Poor
224,"I just finished my studies and I need a job to support my family. I don't have any special skill but I am willing to work for less salary too.",1.0,2.0,1.0,2.0,1.4,Poor
225,Because I am cooperative and I follow instructions properly.,1.0,2.0,2.0,1.0,1.5,Poor
